epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,450.941,2.38323,3.3948,1.83517,0.00782,0.15386,0.02308,0.0088,2.59944,4.10887,2.27513,0.00027775,0.00027775,0.00027775
2,915.834,1.79496,2.05097,1.37813,0.40853,0.08046,0.13017,0.07111,1.96615,2.95754,1.64536,0.000556411,0.000556411,0.000556411
3,1389.34,1.65159,1.7601,1.28472,0.42927,0.28894,0.21551,0.11885,1.73528,2.37172,1.38664,0.000824673,0.000824673,0.000824673
4,1868.82,1.61158,1.61974,1.25181,0.38869,0.43751,0.35747,0.18816,1.59254,1.72733,1.22902,0.00105101,0.00105101,0.00105101
5,2343.21,1.56559,1.53763,1.23199,0.41257,0.38531,0.37786,0.19715,1.58406,1.68636,1.22871,0.00103101,0.00103101,0.00103101
6,2828.49,1.58495,1.47877,1.2344,0.34606,0.49389,0.38382,0.20225,1.60614,1.64798,1.2518,0.00101101,0.00101101,0.00101101
7,3321.09,1.53462,1.38379,1.20066,0.50129,0.50997,0.45903,0.24482,1.54743,1.48191,1.23049,0.000991012,0.000991012,0.000991012
8,3801.25,1.52292,1.32891,1.20673,0.5155,0.50802,0.50486,0.26939,1.54878,1.47725,1.25222,0.000971014,0.000971014,0.000971014
9,4280.09,1.50491,1.30502,1.19271,0.56888,0.53852,0.5135,0.26739,1.5331,1.42842,1.24607,0.000951016,0.000951016,0.000951016
10,4756.58,1.50698,1.28237,1.19704,0.50112,0.53297,0.47076,0.24796,1.53383,1.37714,1.24114,0.000931018,0.000931018,0.000931018
11,5243.32,1.48767,1.24637,1.19455,0.59638,0.48467,0.51687,0.275,1.51698,1.40665,1.22531,0.00091102,0.00091102,0.00091102
12,5724.45,1.50019,1.23986,1.2034,0.48039,0.52841,0.50152,0.27069,1.52906,1.34736,1.23246,0.000891022,0.000891022,0.000891022
13,6204.24,1.48429,1.20898,1.17792,0.49097,0.55025,0.50911,0.27268,1.52434,1.36112,1.22716,0.000871024,0.000871024,0.000871024
14,6690.17,1.46396,1.17017,1.17945,0.5649,0.52638,0.52847,0.28729,1.51797,1.28955,1.21644,0.000851026,0.000851026,0.000851026
15,7173.18,1.46561,1.14649,1.18169,0.50982,0.57782,0.52999,0.28644,1.5223,1.24869,1.23748,0.000831028,0.000831028,0.000831028
16,7666.02,1.44761,1.12742,1.18248,0.48018,0.57027,0.5383,0.29334,1.51793,1.28344,1.22474,0.00081103,0.00081103,0.00081103
17,8160.34,1.46596,1.11357,1.18675,0.63934,0.55748,0.57727,0.30597,1.53188,1.28829,1.24307,0.000791032,0.000791032,0.000791032
18,8671.55,1.45336,1.11742,1.18198,0.57268,0.56199,0.54913,0.28941,1.53431,1.30927,1.23069,0.000771034,0.000771034,0.000771034
19,9177.13,1.42224,1.07819,1.1663,0.47173,0.5617,0.52144,0.27131,1.56256,1.27952,1.2447,0.000751036,0.000751036,0.000751036
20,9680.72,1.43517,1.08298,1.17774,0.53591,0.58979,0.53993,0.28864,1.51017,1.21534,1.22294,0.000731038,0.000731038,0.000731038
21,10189.8,1.44752,1.08734,1.17547,0.4884,0.57472,0.51771,0.27845,1.50979,1.23927,1.21052,0.00071104,0.00071104,0.00071104
